영화관명,주소,구,동,lat,lng
(주)케이엠티브이,서울특별시 양천구 목동,양천구,목동,37.5294023,126.8711041
CGV강남제,서울특별시 강남구 역삼동,강남구,역삼동,37.5015587,127.026319
CGV강변DX,서울특별시 서초구 서초동,서초구,서초동,37.4852137,127.0136295
CGV강변제[CGV아트하우스],서울특별시 광진구 구의동,광진구,구의동,37.5349372,127.0957088
CGV건대입구제,서울특별시 광진구 자양동,광진구,자양동,37.5397767,127.0669122
CGV구로제(CGV아트하우스),서울특별시 구로구 구로동,구로구,구로동,37.5013174,126.8825372
CGV김포공항(),경기도 김포시 걸포동,김포시,걸포동,37.63220829999999,126.7071877
CGV대학로,서울특별시 종로구 명륜2가,종로구,명륜2가,37.583422,126.999828
CGV동대문제,서울특별시 중구 을지로6가,중구,을지로6가,37.5689617,127.0078661
CGV등촌,서울특별시 강서구 등촌동,강서구,등촌동,37.5578035,126.85602
CGV명동,서울특별시 중구 명동2가,중구,명동2가,37.5633883,126.9828889
CGV명동역씨네라이브러리ART,서울특별시 중구 충무로2가,중구,충무로2가,37.561253,126.9853147
CGV목동(),서울특별시 양천구 목동,양천구,목동,37.5262575,126.8750099
CGV불광제,서울특별시 은평구 대조동,은평구,대조동,37.6097385,126.9288713
CGV상봉,서울특별시 중랑구 상봉동,중랑구,상봉동,37.5977689,127.0923835
CGV성신여대입구,서울특별시 성북구 동선동1가,성북구,동선동1가,37.5925601,127.0170483
CGV송파SPHEREX,서울특별시 송파구 문정동,송파구,문정동,37.4775778,127.1249983
CGV수유,서울특별시 강북구 수유동,강북구,수유동,37.642338,127.0300198
CGV신촌아트레온[CGV아트하우스],서울특별시 서대문구 창천동,서대문구,창천동,37.5564819,126.940327
CGV압구정제,서울특별시 강남구 신사동,강남구,신사동,37.5244988,127.0288659
CGV여의도[COMFORTSEAT],서울특별시 영등포구 여의도동,영등포구,여의도동,37.5254692,126.9254109
CGV연남(SuiteCinema),서울특별시 마포구 동교동,마포구,동교동,37.5577291,126.9258096
CGV영등포제[D],서울특별시 영등포구 영등포동4가,영등포구,영등포동4가,37.5171639,126.9031758
CGV왕십리,서울특별시 성동구 행당동,성동구,행당동,37.56054049999999,127.0387527
CGV천호,서울특별시 강동구 천호동,강동구,천호동,37.5456582,127.1422439
CGV청담씨네시티BMWCINEMASWEETBOXPREMIUM,서울특별시 강남구 신사동,강남구,신사동,37.522837,127.0370092
CGV피카디리,서울특별시 종로구 돈의동,종로구,돈의동,37.5710462,126.9911934
CGV하계제,서울특별시 노원구 중계동,노원구,중계동,37.6388901,127.0646102
CGV홍대,서울특별시 마포구 동교동,마포구,동교동,37.5564405,126.9226104
KU시네마테크,서울특별시 광진구 화양동,광진구,화양동,37.5428904,127.07307
강남비디오소극장,서울특별시 강남구 논현동,강남구,논현동,37.5071602,127.0249839
객석시네마,x,x,x,29.7799092,-95.5408135
낭만극장,서울특별시 종로구 낙원동,종로구,낙원동,37.5725341,126.9877902
대한극장(),서울특별시 중구 필동2가,중구,필동2가,37.561303,126.9952645
더숲아트시네마제,서울특별시 노원구 상계동,노원구,상계동,37.6541572,127.0614199
독립영화전용인디스페이스,서울특별시 종로구 관수동,종로구,관수동,37.5696478,126.9916588
동아극장,광주광역시 동구 충장로3가,동구,충장로3가,35.1491195,126.9153958
떼아뜨르이동영화,x,x,x,48.0742595,7.359679099999999
