,별점,리뷰,추천 수,비추천 수
0,10,김혜수 분 원래도 연기 잘하는 줄 알았지만 어제 보고 반했어요 특히 영어로 말하는 부분은 너무 멋졌습니다 조우진  분도 정말 욕 나오게 연기 너무 잘하시네요ㅎㅎ 영화 보는 내내 답답했지만 그래도 꼭 봐야할 영화라 생...,4562,517
1,10,Imf때 망한 아빠 생각나서 너무 많이 울었네요. ,4081,456
2,9,"관람객IMF 세대가 아니기에 그 시절을 공감하고 이해할 수는 없지만, 영화를 보며 그 때를 버티고 견뎌온 사람들이 대단하다 느꼈다. ",3689,349
3,8,총/칼보다 무서운 경제 스릴러. ,3596,313
4,10,이거 재미있으면 추천 재미없으면 비추 ,5264,1990
5,10,역시 갓혜수...믿고본다 ,3038,393
6,10,배우들 연기가 너무좋았다 그 당시에 대해서도 현재에 대해서도 많은 생각을 하게 되는 영화 ,2680,374
7,10,안볼까하다가 김혜수 배우님 나오신대서 봤는데 역시 잘본것 같습니다. 김혜수 배우님이 처음부터 끝까지 장식해주셔서 정말 더 몰입도 높았던 것 같아요. 김혜수 배우님 짱? 팬이에요? ,2490,311
8,10,배우 김혜수의 연기를 보면서 1997년으로 돌아간듯한 기분이 들었다. 역시 최고의 배우. 통화정책팀 모두가 너무 좋았지만 조한철 배우의 연기 특히 너무 좋았다. ,2230,258
9,10,관람객어릴적 잘모르고 지나친 IMF시기를 2시간동안 체험하고온듯 볼거리로서도 생각할거리로서도 충분히 가치있는 영화 ,2129,213
10,10,왜 김혜수가 김혜수인지 알 수 있었다. 가장 최근에 본 김혜수 필모가 굿바이 싱글이었는데 거기서 본 철없는 여배우 캐릭터와 180도 다른 국가 위기를 막기 위해 노력하는 팀장 캐릭터 둘 다를 아무런 위화감 없이 소화...,2024,184
11,10,김혜수님의 연기가 돋보였던 영화.. 김혜수님 아니였으면 아무도 소화하지 못했을듯해요.. 연기 뿐 아니라 내용도 정말 많은 생각이 들게하는 꼭 추천하고 싶은 영화 입니다 ,1897,187
12,8,김혜수님 역시 최고입니다 극을 끌어가는 힘 김혜수님에게 박수! ,1919,253
13,10,김혜수님 연기 너무 멋있어요. 덕분에 재밌게 관람했습니다! ,1670,199
14,10,김혜수가 다한영화다 진심 김혜수와 팀원3명 영화 나머지는 그냥 과정을 위한 조연임 ,1727,278
15,10,와 김혜수 배우... 영화계는 이렇게 멋진 여성 배우를 지금껏 어떻게 소비한거냐 대사 치기 어려운 경제용어들 속사포로 내뱉는데 다 귀에 쏙쏙 박혀서 놀람 딕션이 어쩜... 한시현 팀장같은 캐릭터 만들어줘서 너무 고맙...,1628,198
16,10,혜수님ㅠㅠ 갓혜수... 혼자 연기함 진짜ㅠㅠ 최고에요 ,1569,214
17,10,김혜수 연기가 너무 좋았고 IMF때 생각나서 마음이 먹먹해졌다. ,1478,150
18,10,김혜수님 존멋...키야 ,1430,173
19,10,김혜수 배우님 연기가 너무 좋았습니다. 굉장히 감명깊게 봤어요. 영화를 이끌어가는 힘이 대단하네요. ,1382,162
20,10,진정한 혜수님 원톱영화 ,1243,149
21,10,김혜수님 연기가 정말 돋보이는 영화네요. ,1194,137
22,10,영화를 보면서 97년도 imf를 버텨오신 우리 아버지가 정말 대단하신분이란걸 느낀거같습니다. ,1155,150
23,10,역시 믿고보는 김혜수님!!! ㅠㅠㅠㅠ 정말 등에 소름이 돋았습니다 너무멋있어요 ,1134,140
24,10,내가 중학생때 있었던 imf....영화보는 내내 울컥했다..내가족 내 식구들이힘들었던 순간이 다  떠올랐다..그만큼 연기자들의 수준이 좋았고 영화가 좋았다다만 그날의 국가의 대처력에 실망했을 뿐이다 ,1045,123
25,10,관람객보는 내내 먹먹해짐 ㅠ 진짜 배우들 연기력이 최고 ,1051,145
26,10,김혜수님의 연기가 대단함.. 시대 반영이 잘 된 영화라고 생각 ,928,111
27,8,관람객김혜수는 김혜수보면서 화가 치미는 영화그당시 아픔을 겪은 일들이 생각나게 함 ,918,129
28,10,대한민국의 슬럼프 그날의 진실 ,937,195
29,10,김혜수 소름끼치게 멋있음 ,860,119
30,10,나는 20년뒤 허준호가 핫산한테 소리칠때 사실 충격받았다.... 저렇게 좋고 유순하던 캐릭터가 악덕사장으로 변하다니. 그리고 유아인연기는 이제 말하기도 입아픈 수준 ,1041,346
31,9,김혜수 주연 배우의 열연이 돋보이는 영화! 허준호 배우님의 서사가 머리를 망치로 맞은 듯한 충격을 주었습니다 가슴이 아파요ㅠ ,663,74
32,10,국가부도는 결코 우리가 교과서에서 배웠듯이 국민의 잘못도 과소비도 아니었다.그저 기득권층들의 위기를 가장한 대한민국 길들이기였다. ,647,66
33,10,갓혜수는 신이다ㅠㅠ조우진은 꿀밤때리고싶을정도로 연기 잘하네요ㅠㅠ가슴아픕미다 ,643,76
34,10,역사를 잊은 민족에겐 미래란 없다. 과거 20년을 다시 바라볼 수 있는 시간이었다 ,622,95
35,10,관람객배우들이 연기가 너무 좋았고예전 97년 IMF시기엔 어려서 잘몰랐던 내용을 다시한번 생각해볼수있었다.또 현재 경제가 너무 어려운데 또한번 IMF와 같은 어려운 시기가 오지않을까 생각이 들었다..정말 많은 생각이 든 ...,594,96
36,10,"김혜수의 연기가 돋보인 영화,, 왜 김혜수인지 알 수 있는 영화였다. ",561,77
37,10,"김혜수씨 너무 멋있고, 114분 내내 탄탄한 스토리로 눈을 떼지 못했습니다. ",555,74
38,10,이 영화에 화나는것보다 이런영화가 백번 천번나와도 바뀌지않는 현실에 더 화가난다.. 영화는 짜임새 있는 연출이 매우 맘에들었음 배우 연기들은 두말할것도없고.. ,525,50
39,10,"신파라고 쓰는애들 영화안본거 인정하는수준, 특별한 장소 화려한연출 이런거없이 분위기, 배우, 음악 이것만으로 2시간 텐션 놓치지않고 끝까지 끌고감, 화이트보드위 기업들 빨간줄이 다그어져있고 조한철배우고 뒤돌아볼때 표...",502,82
40,10,김혜수님 연기 너무 잘해요ㅠㅠ 주말에 한번 더 보러 갈 거예요 ,485,76
41,10,빛혜수..연기로 다 씹어드심ㅠㅠ ,471,74
42,10,관람객김혜수 유아인 연기 너무 좋았습니다ㅠㅠ극도 탄탄하고 연기력도 좋아서 오랜만에 처음부터 끝까지 흥미롭게 본 영화네요 ,714,318
43,10,김혜수가 다했다김혜수밖에 기억에 안난다 ,478,86
44,10,꼭 봐야될영화! 김혜수같은 인물들이 많기를. 본인의 이익이 아니라 나라를 더 사랑했으면. 나부터 깨어있어여겠다. ,452,70
45,10,믿고보는 갓혜수 bbbb ,444,68
